"image","n_subjects","mean","sd","median","min","max"
"2660.jpg",13,1.07692307692308,1.55250005161237,0,0,5
"2635.jpg",13,1.61538461538462,1.80455264717055,1,0,5
"5900.jpg",14,1.71428571428571,1.72887564301513,1,0,5
"1463.jpg",13,1.76923076923077,2.74329018254377,0,0,8
"2221.jpg",13,1.84615384615385,1.72463299700515,2,0,5
"1333.jpg",13,2.07692307692308,2.98500526134485,0,0,9
"2655.jpg",13,2.07692307692308,2.39657875806111,1,0,7
"2312.jpg",13,2.30769230769231,2.35883500145783,2,0,7
"4503.jpg",14,2.5,2.7942248133771,1.5,0,8
"2352.jpg",14,2.57142857142857,2.73760944886328,1,0,8
"5520.jpg",14,2.64285714285714,2.40535117721182,2,0,7
"7054.jpg",14,2.64285714285714,2.6196635972272,2.5,0,9
"2410.jpg",12,2.66666666666667,2.38683256575942,1.5,0,7
"2491.jpg",13,2.69230769230769,2.95478751025674,1,0,8
"2346.jpg",14,2.78571428571429,2.22498302253061,3,0,7
"2220.jpg",14,2.85714285714286,2.50713268211203,2.5,0,7
"2605.jpg",13,3,2.48327740429189,3,0,7
"9280.jpg",14,3,1.70970082853022,3,0,6
"1121.jpg",14,3.07142857142857,1.68542556663275,3,0,6
"2455.jpg",14,3.07142857142857,2.55596694676732,3,0,9
"2446.jpg",13,3.15384615384615,2.96777564982468,2,0,8
"2110.jpg",13,3.46153846153846,2.75727476007817,2,0,8
"1640.jpg",13,3.53846153846154,2.69615110281875,4,0,7
"2751.jpg",13,3.53846153846154,2.5038431998092,3,0,9
"1560.jpg",14,3.64285714285714,2.37315573274662,3,0,7
"5628.jpg",14,3.64285714285714,2.37315573274662,4,0,7
"6900.jpg",14,3.71428571428571,2.49394872035899,4,0,8
"2278.jpg",14,3.85714285714286,2.31573689408736,3.5,0,7
"2100.jpg",12,3.91666666666667,2.35326980770986,3,1,8
"3280.jpg",13,3.92307692307692,2.39657875806111,4,0,7
"9926.jpg",14,3.92857142857143,2.1290765681316,4,1,7
"2141.jpg",14,4,2.25320284859643,4,0,7
"2681.jpg",14,4,2.63117405792109,4,0,9
"2682.jpg",13,4,2.82842712474619,4,0,9
"2694.jpg",14,4,2.28708749958746,4,0,8
"5950.jpg",14,4,2,4,1,8
"2704.jpg",14,4.07142857142857,2.40077826209258,4,0,7
"5972.jpg",13,4.07692307692308,2.84199280029403,3,0,9
"1302.jpg",14,4.14285714285714,1.65748386032949,4,1,7
"1675.jpg",14,4.14285714285714,1.83374953650638,3.5,2,7
"8179.jpg",13,4.23076923076923,2.77350098112615,4,1,8
"1030.jpg",14,4.35714285714286,2.87180304813069,5,0,9
"1230.jpg",14,4.42857142857143,1.65084061171111,4,2,8
