"image","n_subjects","mean","sd","median","min","max"
"1030.jpg",11,4.36363636363636,3.13919503289386,5,0,9
"1052.jpg",11,5.81818181818182,2.27236360726807,6,2,9
"1110.jpg",11,5.36363636363636,2.57964056692894,5,2,9
"1111.jpg",11,7,1.26491106406735,7,5,9
"1121.jpg",11,2.72727272727273,1.61807966991178,3,0,6
"1200.jpg",11,5.63636363636364,1.96329963442809,6,2,8
"1201.jpg",11,5.36363636363636,2.24823162831267,5,2,9
"1220.jpg",11,4.45454545454545,2.33938608885478,4,1,8
"1230.jpg",11,4.27272727272727,1.27207775634268,4,3,6
"1240.jpg",11,4.72727272727273,2.28433399882369,5,1,8
"1270.jpg",11,4.09090909090909,2.11917651244749,4,0,8
"1274.jpg",11,4.81818181818182,2.22792198329214,5,0,8
"1275.jpg",11,5,1.67332005306815,5,2,8
"1280.jpg",11,6.45454545454545,1.21355975243384,6,5,9
"1300.jpg",11,6.63636363636364,1.2862913567872,7,5,8
"1301.jpg",11,4.81818181818182,2.08893187146837,5,1,8
"1302.jpg",11,4.18181818181818,1.66241882918727,4,1,7
"1303.jpg",11,4.81818181818182,2.56195947736032,5,0,8
"1321.jpg",11,5.36363636363636,1.80403587950613,6,2,8
"1333.jpg",11,1.09090909090909,1.81408629643385,0,0,5
"1463.jpg",11,1.18181818181818,2.18257562609784,0,0,6
"1525.jpg",11,6.45454545454545,1.69491217257039,7,2,8
"1560.jpg",11,3.09090909090909,2.16585066219005,2,0,7
"1640.jpg",11,2.90909090909091,2.42711950486767,4,0,7
"1650.jpg",11,4.45454545454545,2.01809991643805,5,0,7
"1675.jpg",11,4.27272727272727,1.84883255547435,4,2,7
"1726.jpg",11,6.27272727272727,1.1037127426019,6,4,8
"1930.jpg",11,6.36363636363636,1.02691063610494,6,5,8
"1931.jpg",11,5.63636363636364,1.56669890360128,6,3,8
"1932.jpg",11,6.36363636363636,1.85864075456917,7,2,8
"2053.jpg",11,5.63636363636364,3.17089032521553,7,0,9
"2095.jpg",11,5.63636363636364,1.96329963442809,6,2,8
"2100.jpg",11,3.63636363636364,2.24823162831267,3,1,8
"2110.jpg",11,2.81818181818182,2.48266718744909,2,0,8
"2120.jpg",11,4.36363636363636,2.20330330516374,5,1,8
"2141.jpg",11,3.72727272727273,2.19503572139084,3,0,6
"2220.jpg",11,2.72727272727273,2.37027041035022,2,0,7
"2221.jpg",11,1.63636363636364,1.74772579501061,1,0,5
"2278.jpg",11,3.36363636363636,2.37792881612244,3,0,7
"2312.jpg",11,2.36363636363636,2.41961679911209,2,0,7
"2346.jpg",11,2.36363636363636,2.11057941204435,2,0,5
"2352.2.jpg",11,8,1.61245154965971,9,5,9
"2352.jpg",11,1.72727272727273,2.19503572139084,1,0,6
"2410.jpg",11,2.27272727272727,2.05382127220988,1,0,6
"2446.jpg",11,2.72727272727273,2.96954235837474,2,0,8
"2455.jpg",11,2.45454545454545,2.11488233070478,2,0,6
"2491.jpg",11,1.72727272727273,1.95401684183679,1,0,5
"2605.jpg",11,2.72727272727273,2.53341307689485,3,0,7
"2635.jpg",11,1.63636363636364,1.85864075456917,1,0,5
"2655.jpg",11,1.54545454545455,2.01809991643805,1,0,6
"2660.jpg",11,1,1.54919333848297,0,0,5
"2661.jpg",11,5.36363636363636,2.87307247638229,7,1,8
"2681.jpg",11,3.63636363636364,2.50090892567991,4,0,7
"2682.jpg",11,3.18181818181818,2.18257562609784,4,0,7
"2683.jpg",11,5.54545454545455,2.1616492020509,6,1,8
"2691.jpg",11,5,2.23606797749979,6,1,8
"2692.jpg",11,4.54545454545455,1.69491217257039,5,1,7
"2694.jpg",11,3.90909090909091,2.16585066219005,4,0,8
"2695.jpg",11,4.18181818181818,2.18257562609784,4,0,7
